epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,530.598,1.1383,4.43596,1.6184,1e-05,0.05788,0.00015,0.00015,1.13569,5.32744,1.07652,0.0803456,0.000198529,0.000198529
2,1031.09,0.97976,3.86975,1.44717,0.00041,0.08661,0.0012,0.0012,0.60557,4.9499,0.72138,0.0605416,0.000394584,0.000394584
3,1504.62,0.94063,3.71376,1.41967,0.00093,0.17811,0.00208,0.00199,0.48731,4.99187,0.60943,0.0407337,0.000586679,0.000586679
4,1966.82,0.91234,3.58106,1.40486,0.00113,0.36338,0.00324,0.003,0.49251,4.70449,0.57668,0.0209219,0.000774813,0.000774813
5,2250.45,0.87703,3.50707,1.39043,0.00189,0.11826,0.00271,0.00243,0.52003,5.00444,0.64264,0.00110605,0.000958988,0.000958988
6,2666.5,0.85174,3.44019,1.37489,0.00255,0.37201,0.00726,0.0065,0.75221,4.35202,0.7604,0.0009505,0.0009505,0.0009505
7,3011.08,0.81022,3.38562,1.34606,0.00186,0.41856,0.00614,0.00607,0.54501,4.37146,0.5731,0.0009406,0.0009406,0.0009406
8,3226.13,0.79412,3.35599,1.33263,0.0022,0.23118,0.00597,0.00545,0.51897,4.35736,0.6171,0.0009307,0.0009307,0.0009307
9,3448.98,0.76441,3.3137,1.31741,0.00389,0.25235,0.00859,0.0085,0.4685,4.29844,0.53426,0.0009208,0.0009208,0.0009208
10,3632.31,0.75507,3.28159,1.3078,0.00135,0.15633,0.00227,0.00227,0.38717,4.94263,0.50094,0.0009109,0.0009109,0.0009109
11,3799.09,0.72642,3.25587,1.29059,0.0019,0.23314,0.00607,0.00586,0.30581,4.35176,0.50456,0.000901,0.000901,0.000901
12,3990.66,0.71725,3.23795,1.28583,0.00536,0.19336,0.00704,0.007,0.30746,4.39124,0.47567,0.0008911,0.0008911,0.0008911
13,4164.22,0.70692,3.2097,1.27745,0.00404,0.15922,0.00558,0.00558,0.45927,4.54254,0.53491,0.0008812,0.0008812,0.0008812
14,4383.64,0.68964,3.18971,1.26951,0.00423,0.41382,0.01123,0.01123,0.31598,4.03824,0.46308,0.0008713,0.0008713,0.0008713
15,4676.02,0.69645,3.17739,1.27076,0.00447,0.60376,0.01734,0.01717,0.43897,3.90469,0.49943,0.0008614,0.0008614,0.0008614
16,4798.47,0.68405,3.16366,1.26271,0.00661,0.2192,0.01375,0.01336,0.30002,4.10471,0.47573,0.0008515,0.0008515,0.0008515
17,4961.94,0.6709,3.14045,1.25632,0.00387,0.1749,0.00763,0.00763,0.73112,4.19735,0.7019,0.0008416,0.0008416,0.0008416
18,5167.5,0.66381,3.12433,1.24692,0.00581,0.44907,0.01959,0.01943,0.33768,3.95757,0.46694,0.0008317,0.0008317,0.0008317
19,5427.86,0.6592,3.11515,1.24718,0.00527,0.53251,0.01825,0.01802,0.3664,3.89814,0.50777,0.0008218,0.0008218,0.0008218
20,5685.4,0.65701,3.10061,1.24722,0.00539,0.55781,0.01832,0.01826,0.38575,3.91149,0.48554,0.0008119,0.0008119,0.0008119
21,5856.5,0.6507,3.0822,1.24092,0.00445,0.17173,0.00534,0.00508,0.32225,4.90567,0.48796,0.000802,0.000802,0.000802
22,6014.94,0.64322,3.07524,1.24032,0.00603,0.33522,0.01537,0.01524,0.37947,4.1451,0.53896,0.0007921,0.0007921,0.0007921
23,6268.39,0.64535,3.06319,1.24021,0.00596,0.55824,0.01653,0.01617,0.44463,3.92918,0.53194,0.0007822,0.0007822,0.0007822
24,6568.66,0.63601,3.04808,1.23276,0.0055,0.51932,0.01923,0.01913,0.52778,3.93591,0.56818,0.0007723,0.0007723,0.0007723
25,6741.14,0.63123,3.03354,1.23101,0.00648,0.39207,0.01712,0.01645,0.36852,4.22021,0.51557,0.0007624,0.0007624,0.0007624
26,7014.51,0.62415,3.02174,1.22879,0.0056,0.53735,0.01677,0.01664,0.43251,3.97007,0.52747,0.0007525,0.0007525,0.0007525
27,7229.89,0.62548,3.0168,1.22917,0.00618,0.58501,0.02205,0.02198,0.28879,3.92981,0.44708,0.0007426,0.0007426,0.0007426
28,7452.13,0.61214,3.00263,1.2201,0.00535,0.43096,0.01385,0.01378,0.36446,4.31747,0.47163,0.0007327,0.0007327,0.0007327
29,7717.88,0.61464,2.9899,1.22135,0.00412,0.40744,0.00643,0.00637,0.43931,4.40641,0.51065,0.0007228,0.0007228,0.0007228
30,7886.24,0.61075,2.98515,1.22271,0.00657,0.4074,0.01854,0.01798,0.34181,4.2239,0.47694,0.0007129,0.0007129,0.0007129
31,8041.95,0.61185,2.96739,1.22167,0.00621,0.32742,0.01645,0.01613,0.38377,4.30291,0.493,0.000703,0.000703,0.000703
32,8259.47,0.60692,2.96607,1.21855,0.00697,0.58804,0.02259,0.02213,0.34499,3.88838,0.50645,0.0006931,0.0006931,0.0006931
33,8485.27,0.60727,2.94758,1.21833,0.00593,0.46753,0.01823,0.01782,0.35234,4.15921,0.48385,0.0006832,0.0006832,0.0006832
34,8779.8,0.6013,2.93579,1.21567,0.00631,0.75324,0.02613,0.0258,0.37158,3.80808,0.47384,0.0006733,0.0006733,0.0006733
35,8931.27,0.60291,2.92599,1.2169,0.00605,0.28785,0.01249,0.01196,0.33718,4.30773,0.55436,0.0006634,0.0006634,0.0006634
36,9176.86,0.59592,2.91268,1.21168,0.00717,0.62332,0.02405,0.02388,0.30306,3.86729,0.45375,0.0006535,0.0006535,0.0006535
37,9431.29,0.59327,2.90614,1.21209,0.00801,0.55289,0.01834,0.01816,0.27768,3.93814,0.50285,0.0006436,0.0006436,0.0006436
38,9648.4,0.58941,2.88945,1.20985,0.00771,0.45908,0.01887,0.01863,0.39992,4.06788,0.56081,0.0006337,0.0006337,0.0006337
39,9804.96,0.58736,2.87913,1.20682,0.00832,0.30453,0.01975,0.01855,0.31707,4.2445,0.54118,0.0006238,0.0006238,0.0006238
40,10031.2,0.59061,2.86772,1.20874,0.00682,0.48884,0.02213,0.02205,0.30644,4.03818,0.4634,0.0006139,0.0006139,0.0006139
41,10228.3,0.58414,2.85601,1.20594,0.00814,0.48214,0.02785,0.02648,0.39268,4.00118,0.59231,0.000604,0.000604,0.000604
42,10406,0.57759,2.84857,1.20221,0.00764,0.39949,0.02333,0.02,0.41203,4.24058,0.68931,0.0005941,0.0005941,0.0005941
43,10602.4,0.57907,2.84129,1.20544,0.00663,0.40658,0.0212,0.0197,0.34017,4.18246,0.59392,0.0005842,0.0005842,0.0005842
44,10748.6,0.57001,2.82903,1.20045,0.01025,0.39817,0.02904,0.0283,0.42845,4.18931,0.74083,0.0005743,0.0005743,0.0005743
45,10948.5,0.56876,2.81798,1.19941,0.007,0.4141,0.02222,0.01961,0.39293,4.41598,0.69177,0.0005644,0.0005644,0.0005644
46,11206.8,0.57414,2.79945,1.20161,0.0067,0.61687,0.02489,0.02428,0.43609,4.02251,0.74094,0.0005545,0.0005545,0.0005545
47,11395.1,0.57483,2.787,1.20467,0.00913,0.54074,0.03629,0.03436,0.43965,3.95785,0.81105,0.0005446,0.0005446,0.0005446
48,11630.9,0.56638,2.77232,1.19996,0.00731,0.65088,0.03283,0.03171,0.38523,3.92051,0.72264,0.0005347,0.0005347,0.0005347
49,11850.5,0.57158,2.7683,1.19887,0.00873,0.65433,0.04036,0.03838,0.46844,3.86028,0.87115,0.0005248,0.0005248,0.0005248
50,12040.6,0.5629,2.75183,1.1952,0.00997,0.6018,0.04538,0.04332,0.46909,3.87996,0.88271,0.0005149,0.0005149,0.0005149
51,12260.8,0.56309,2.7438,1.19704,0.00918,0.61716,0.03924,0.03623,0.45661,3.99738,0.89786,0.000505,0.000505,0.000505
52,12501,0.5555,2.73302,1.19159,0.0088,0.69237,0.04145,0.03865,0.4682,3.83304,0.91399,0.0004951,0.0004951,0.0004951
53,12675,0.56443,2.7232,1.19863,0.00953,0.45299,0.03497,0.03239,0.47621,4.22576,0.85519,0.0004852,0.0004852,0.0004852
54,12857.6,0.55529,2.70892,1.19294,0.00946,0.54844,0.04164,0.0374,0.55245,4.05739,1.03736,0.0004753,0.0004753,0.0004753
55,13089.9,0.55083,2.6952,1.18913,0.00824,0.67016,0.04573,0.0395,0.58999,3.94401,1.03296,0.0004654,0.0004654,0.0004654
56,13262.9,0.55554,2.68781,1.19282,0.01092,0.53272,0.04254,0.04012,0.41415,4.02526,0.80985,0.0004555,0.0004555,0.0004555
57,13491.4,0.54847,2.66873,1.18892,0.00784,0.6913,0.04936,0.0437,0.59676,3.90718,1.09786,0.0004456,0.0004456,0.0004456
58,13685,0.54767,2.66209,1.18825,0.00922,0.62568,0.04603,0.04321,0.52643,3.94442,0.95496,0.0004357,0.0004357,0.0004357
59,13918.1,0.54861,2.65072,1.1884,0.00865,0.6759,0.04893,0.04408,0.53408,3.94105,1.022,0.0004258,0.0004258,0.0004258
60,14134.8,0.54538,2.64054,1.1864,0.00883,0.71172,0.05575,0.05191,0.63567,3.82998,1.22753,0.0004159,0.0004159,0.0004159
61,14317.6,0.54064,2.63172,1.18254,0.01043,0.63641,0.05883,0.05674,0.55317,3.92728,1.12606,0.000406,0.000406,0.000406
62,14488.5,0.5406,2.61924,1.18175,0.01195,0.62115,0.05768,0.05496,0.52928,3.95285,1.10866,0.0003961,0.0003961,0.0003961
63,14664.6,0.53849,2.61537,1.1808,0.01188,0.62165,0.05689,0.05341,0.54184,4.03061,1.13412,0.0003862,0.0003862,0.0003862
64,14844.1,0.53443,2.59992,1.1804,0.01162,0.6522,0.0617,0.05656,0.57123,4.04339,1.17951,0.0003763,0.0003763,0.0003763
65,15065.2,0.52779,2.59136,1.17604,0.00968,0.80913,0.08458,0.08237,0.628,3.62617,1.34847,0.0003664,0.0003664,0.0003664
66,15275,0.52516,2.57959,1.17537,0.01042,0.75235,0.07877,0.0756,0.57057,3.68547,1.2506,0.0003565,0.0003565,0.0003565
67,15523.2,0.52375,2.5671,1.17147,0.00874,0.80436,0.07804,0.07449,0.57265,3.6188,1.26086,0.0003466,0.0003466,0.0003466
68,15726,0.51808,2.55298,1.17115,0.01027,0.70452,0.06904,0.06596,0.60202,3.86829,1.31112,0.0003367,0.0003367,0.0003367
69,15970.9,0.51692,2.54502,1.16994,0.03291,0.3597,0.08221,0.0792,0.60364,3.52544,1.36502,0.0003268,0.0003268,0.0003268
70,16172.6,0.51528,2.55291,1.16711,0.01065,0.74914,0.07883,0.07661,0.56873,3.70043,1.30846,0.0003169,0.0003169,0.0003169
71,16340.3,0.51589,2.54155,1.16764,0.01269,0.66168,0.0745,0.07351,0.54508,3.85726,1.25279,0.000307,0.000307,0.000307
72,16538.6,0.51146,2.52119,1.1636,0.01152,0.75677,0.08267,0.08077,0.57664,3.67235,1.3299,0.0002971,0.0002971,0.0002971
73,16756.1,0.50833,2.51398,1.16319,0.21936,0.15455,0.09067,0.08876,0.60888,3.53579,1.37098,0.0002872,0.0002872,0.0002872
74,16960.7,0.50021,2.50243,1.15823,0.03484,0.32148,0.08888,0.08728,0.58985,3.60977,1.33272,0.0002773,0.0002773,0.0002773
75,17141.3,0.50539,2.50269,1.16139,0.01167,0.71076,0.07714,0.07536,0.56834,3.78327,1.30166,0.0002674,0.0002674,0.0002674
76,17343.7,0.50636,2.48985,1.16125,0.03559,0.31785,0.08951,0.08789,0.56898,3.60144,1.32644,0.0002575,0.0002575,0.0002575
77,17538.9,0.49829,2.47859,1.1575,0.03089,0.40264,0.09222,0.09073,0.55238,3.59534,1.34316,0.0002476,0.0002476,0.0002476
78,17744.2,0.50076,2.47352,1.15574,0.01665,0.64088,0.09099,0.08876,0.57057,3.59756,1.34959,0.0002377,0.0002377,0.0002377
79,17939.7,0.49676,2.46045,1.15374,0.01159,0.77484,0.09228,0.08979,0.58282,3.61331,1.36742,0.0002278,0.0002278,0.0002278
80,18125.9,0.49034,2.45466,1.15157,0.01224,0.74661,0.0908,0.0886,0.59877,3.6477,1.36475,0.0002179,0.0002179,0.0002179
81,18320.2,0.49041,2.44891,1.15126,0.01168,0.76287,0.09281,0.09081,0.59386,3.59703,1.36571,0.000208,0.000208,0.000208
82,18516.9,0.48868,2.43686,1.14862,0.02333,0.53828,0.09948,0.09804,0.60083,3.5448,1.39057,0.0001981,0.0001981,0.0001981
83,18702.1,inf,2.43537,1.1476,0.02415,0.50832,0.09838,0.09706,0.59331,3.59365,1.3877,0.0001882,0.0001882,0.0001882
84,18887.6,0.48378,2.42341,1.14721,0.02393,0.51417,0.0979,0.09626,0.60696,3.61229,1.40225,0.0001783,0.0001783,0.0001783
85,19069.9,0.47997,2.41767,1.14351,0.02872,0.44454,0.09748,0.09564,0.6029,3.6223,1.41798,0.0001684,0.0001684,0.0001684
86,19245.7,0.47585,2.41282,1.14155,0.01334,0.75399,0.09833,0.09649,0.59102,3.66304,1.40838,0.0001585,0.0001585,0.0001585
87,19423,0.47277,2.40129,1.13882,0.01311,0.75506,0.09811,0.09629,0.58259,3.65782,1.39382,0.0001486,0.0001486,0.0001486
88,19604.8,0.47194,2.39446,1.13868,0.03684,0.3552,0.09951,0.0978,0.57908,3.62874,1.3893,0.0001387,0.0001387,0.0001387
89,19794.9,0.46598,2.38169,1.13641,0.24941,0.15586,0.10494,0.1032,0.58299,3.55603,1.39427,0.0001288,0.0001288,0.0001288
90,19986.2,0.46852,2.3872,1.13427,0.29139,0.15301,0.10805,0.10657,0.58153,3.50805,1.39808,0.0001189,0.0001189,0.0001189
91,20275.6,0.32806,3.63836,1.16115,0.4998,0.14211,0.15567,0.15468,0.56367,2.82885,1.41044,0.000109,0.000109,0.000109
92,20569.6,0.2536,3.20543,1.09202,0.42509,0.16599,0.17826,0.17701,0.51341,2.67193,1.35466,9.91e-05,9.91e-05,9.91e-05
93,20857,0.22976,3.12105,1.07447,0.38004,0.20647,0.20021,0.19895,0.4565,2.56761,1.28998,8.92e-05,8.92e-05,8.92e-05
94,21140,0.22522,3.05799,1.07254,0.35758,0.24061,0.21554,0.21445,0.40294,2.49338,1.23906,7.93e-05,7.93e-05,7.93e-05
95,21420.1,0.21048,3.01599,1.06024,0.3332,0.26448,0.22965,0.22881,0.36926,2.43205,1.21046,6.94e-05,6.94e-05,6.94e-05
96,21691.5,inf,2.98391,1.06014,0.34619,0.28297,0.24459,0.24392,0.35011,2.38353,1.19607,5.95e-05,5.95e-05,5.95e-05
97,21960.2,0.20829,2.95082,1.05678,0.3531,0.29313,0.25445,0.25388,0.34389,2.35057,1.19151,4.96e-05,4.96e-05,4.96e-05
98,22224.3,0.20309,2.93466,1.05473,0.33566,0.30589,0.26263,0.26193,0.34178,2.31778,1.18987,3.97e-05,3.97e-05,3.97e-05
99,22484.6,0.19962,2.90466,1.0511,0.33362,0.31195,0.26944,0.26879,0.34059,2.28639,1.18754,2.98e-05,2.98e-05,2.98e-05
100,22740.5,0.19261,2.90152,1.04784,0.34224,0.31839,0.2752,0.27453,0.34273,2.26221,1.1888,1.99e-05,1.99e-05,1.99e-05
